MOC_DEMOGRAFIA_ID;MOC_ZONAS_ID;PK_RANGO_ETARIO_ID;PK_GENERO_ID;POBLACION_VIVIENTE;POBLACION_TRABAJADORA;RANGO_ETARIO;GENERO
493;36;0;0;691;0;[0-10);H
494;36;6;0;1184;599;[60-INF);H
495;36;5;0;675;619;[50-60);H
496;36;4;1;792;597;[40-50);M
497;36;1;1;678;121;[10-20);M
498;36;3;1;937;745;[30-40);M
499;36;2;0;843;718;[20-30);H
500;36;4;0;791;748;[40-50);H
501;36;0;1;686;0;[0-10);M
502;36;5;1;795;559;[50-60);M
503;36;6;1;1833;500;[60-INF);M
504;36;1;0;668;139;[10-20);H
505;37;0;1;1208;0;[0-10);M
506;37;3;1;1147;776;[30-40);M
507;37;2;0;1057;871;[20-30);H
508;37;4;0;835;732;[40-50);H
509;37;1;1;1177;199;[10-20);M
510;37;6;0;1032;479;[60-INF);H
511;37;5;1;694;434;[50-60);M
512;37;0;0;1165;0;[0-10);H
513;37;2;1;1121;723;[20-30);M
514;37;4;1;896;619;[40-50);M
515;37;3;0;1111;968;[30-40);H
516;37;1;0;1205;240;[10-20);H
517;37;6;1;1684;446;[60-INF);M
518;37;5;0;603;516;[50-60);H
519;38;0;1;1890;0;[0-10);M
520;38;3;1;1514;1047;[30-40);M
521;38;1;1;1835;384;[10-20);M
522;38;6;1;856;247;[60-INF);M
523;38;2;0;2086;1798;[20-30);H
524;38;4;0;979;906;[40-50);H
525;38;5;1;679;443;[50-60);M
526;38;0;0;2056;0;[0-10);H
527;38;3;0;1477;1366;[30-40);H
528;38;1;0;1849;440;[10-20);H
529;38;2;1;2022;1253;[20-30);M
530;38;6;0;512;224;[60-INF);H
531;38;4;1;1016;728;[40-50);M
532;38;5;0;686;579;[50-60);H
533;39;3;0;1667;1565;[30-40);H
534;39;6;1;3082;949;[60-INF);M
535;39;5;0;1140;1063;[50-60);H
536;39;2;1;1745;1361;[20-30);M
537;39;1;0;1103;182;[10-20);H
538;39;0;0;1110;0;[0-10);H
539;39;4;1;1443;1218;[40-50);M
540;39;5;1;1406;1120;[50-60);M
